"Repeat","Value","Convergence","pE","alpha","k","a","omega","p","eta","mu","R0"
34,69406.3041300281,"Successful completion",0.00129796319395224,0.606823768228091,0.412708970139212,1.39372441772603,0.0607504337683126,0.0458562535448378,3.41116875681723e-05,0.00223226885373354,2.49418322383009
35,56952.779367219,"Successful completion",0.000528362278803066,0.655563588238421,0.994457129219611,3.7275091190197,0.126150344108941,0.0198279338132881,3.03716717202391e-05,0.00230942693243302,2.49470062247823
36,64984.1144816925,"Successful completion",0.00122551226862666,0.809812629797865,0.62122132408847,2.6749878062633,0.0474624299778379,0.0437633697612711,3.49787340640093e-05,0.0022058825350372,2.49544844379465
37,91499.0696450855,"Successful completion",0.000418818493300853,0.792073339639869,0.267922740611825,0.221957477783542,0.289055289813206,0.0429844792228143,2.79745238838168e-05,0.00235850912543595,2.47285940755938
38,57201.8022224792,"Successful completion",0.00098686129625942,0.997672260883077,0.785006705788353,3.05478101846989,0.0775210377954095,0.0213961118693438,3.22628511128388e-05,0.00227856495519511,2.49626900768444
39,173071.816208875,"Successful completion",0.00994621208646879,0.357758814745787,0.671859279656793,1.61218976183301,0.00449028616590784,0.103691955359582,4.5782484199308e-05,0.00207665903495987,2.49916134705696
40,147819.846572861,"Successful completion",0.00932320828974534,0.77818351791398,0.955611117080602,2.61554736360431,0.00469810141949523,0.1528026084145,4.52570697563598e-05,0.0020839987339875,2.49843592214516
41,92661.3530290858,"Successful completion",0.00344945086404715,0.999700506502733,0.881735033636238,3.18941103141895,0.00843095524102319,0.156409193095145,4.14465885263183e-05,0.00211868805263801,2.49703307122441
42,64007.3085228389,"Successful completion",0.0007894053974505,0.848027346861,0.240231952020012,0.185450101847029,0.0728321889008438,0.0155972221907038,3.24602957208815e-05,0.00227117488670758,2.49749493933287
43,90882.8550511583,"Successful completion",0.00300688593299834,0.908279696090524,0.960113510937663,3.47115141732306,0.0119555921434531,0.147020496829107,3.99897203167722e-05,0.00214676416184254,2.49608951117441
44,153559.981629161,"Successful completion",0.00960116953091003,0.633753949373974,0.994036739501548,2.66404885123116,0.00465946570550987,0.145697981710848,4.52849649617455e-05,0.00208454838089878,2.49857061214828
45,72182.9350491571,"Successful completion",0.000572508280254506,0.156079888852582,0.744238939087161,2.72689835866484,0.0244525182597957,0.0431501494752623,3.73094547407614e-05,0.00219445214292716,2.49905222313792
46,91154.7944915295,"Successful completion",0.00296621131520492,0.850586374668129,0.989876887816027,3.58072388374688,0.0107782276083623,0.149934650154391,4.07100326593409e-05,0.00212248809754026,2.49643490075094
47,75175.9124819821,"Successful completion",0.0018947180802543,0.998950797788053,0.539591983563289,2.27921762693735,0.021968278439591,0.0613772164307745,3.74803193332836e-05,0.00218218594723897,2.49696656253899
48,68616.9266722912,"Successful completion",0.000659324937311638,0.151810403800678,0.254196817544251,0.178810735341962,0.0451423191216744,0.0457343512241656,3.44920938180127e-05,0.00223316573975872,2.498238503277
49,97107.1350519034,"Successful completion",0.0035019445112052,0.306745204755356,0.846031037596735,2.9616414117519,0.00780771218031965,0.196214820514418,4.18946592116726e-05,0.00211318633892314,2.49741861207328
50,97020.3353089327,"Successful completion",0.00365544196900184,0.988493006900092,0.553606983424367,2.00590803733354,0.00670817922562431,0.197152107955532,4.17356298878606e-05,0.00211547578346104,2.49702815261128
51,72309.6461992106,"Successful completion",6.14916625981907e-05,0.343810054609651,0.655751814603259,2.55831079551237,0.879805959271429,0.0148619293869329,2.69821128465897e-05,0.0023775861409777,2.47681884131498
52,61095.2403596324,"Successful completion",2.03584340436636e-07,0.207586612144559,0.585847426483195,2.34191535725947,0.0729023784749676,0.0201597304101709,3.25731090381192e-05,0.00226663513436362,2.49809574406772
53,96119.2127975274,"Successful completion",0.0024040603539443,0.247940331698649,0.894982828259659,3.17832774482212,0.00421822703304396,0.191250789418734,4.28291286084609e-05,0.00209758998300321,2.49879659279892
54,287876.799668416,"Successful completion",8.08204589565019e-05,0.999753881556143,0.00515397935375687,66.4527693877151,0.0600294613535922,0.0468058470452074,3.30753212496944e-05,0.00225111773669852,2.49367828090491
55,302729.762102303,"Successful completion",0.000115735817056224,0.617177080127846,0.00232715156659475,0.569403001467612,0.0503416752975299,0.0787523191611053,3.427247491492e-05,0.00220319561712457,2.49169460092164
56,60638.1973315906,"Successful completion",0.00102024331665537,0.999857300693242,0.388122985345023,1.33354035077839,0.06684586047423,0.019561954161597,3.29287284714544e-05,0.00225917037973312,2.49705786642473
57,55746.2131896609,"Successful completion",0.000907933807258646,0.79053472421599,0.966036460144452,3.68351841621306,0.0691053632466006,0.0223375099803297,3.26791607372649e-05,0.00226782993523014,2.49662905944734
58,55425.4841725515,"Successful completion",0.00057027659340403,0.481146120059579,0.958250203930896,3.67997567890472,0.0779041336901529,0.0196500159981602,3.21633002274036e-05,0.00227588926986844,2.49696835786388
59,59320.0716750106,"Successful completion",0.00012964419816568,0.14921627831599,0.982138771677565,3.62204004231083,0.0575055393754117,0.0323171992329466,3.37755914854551e-05,0.00224650732088097,2.49846758649226
