"Repeat","Value","Convergence","pE","alpha","k","a","omega","p","eta","mu","R0","group"
48,72315.7234384894,"Successful completion",0.00116955203501106,0.244323004344966,0.250823242949724,0.204595177083297,0.0429139838030637,0.056446870791129,3.5461675907945e-05,0.00220815435677162,2.49642274488222,"seed123_n300"
49,88329.3514131452,"Successful completion",0.00348138254579366,0.701395765576403,0.755482732366289,2.65701893171532,0.0139849001404557,0.102097876882825,4.05379320539407e-05,0.00214145549649309,2.4969393524889,"seed123_n300"
50,155885.875268334,"Successful completion",0.00992549467571691,0.695746464669424,0.955317532379592,2.55539164892994,0.00420892288430806,0.159536423944403,4.57128243965374e-05,0.00207483815340282,2.49856258790146,"seed123_n300"
51,68349.5882978348,"Successful completion",8.47426766544821e-05,0.925671663666483,0.996567713045579,3.68999561851715,0.99625822681019,0.0128246507295344,2.68684433757048e-05,0.0023801610786086,2.47150898729534,"seed123_n300"
52,151847.909423274,"Successful completion",0.0084667004789002,0.953984508597641,0.833989711690682,2.27787893425944,0.00837425498448515,0.0521572426851974,4.5080060985637e-05,0.00206850508210317,2.49902251639142,"seed123_n300"
53,96581.8629453083,"Successful completion",0.00366391798644813,0.977360373107076,0.693260934100012,2.55626880489607,0.00639738659470438,0.196627852964085,4.19266959993808e-05,0.00210821467567862,2.49717699966173,"seed123_n300"
54,64463.5779365164,"Successful completion",0.000944990291392635,0.779296087323189,0.218686157432744,0.00926505738567715,0.0545116401316683,0.0204922408711644,3.37787334625641e-05,0.0022390523279232,2.49756569311597,"seed123_n300"
55,92442.4746708405,"Successful completion",0.00251737515196042,0.28506815820127,0.892334781752669,3.27484307911746,0.0160918744584115,0.1562056899045,3.97128484943255e-05,0.00213558091017479,2.49592031636111,"seed123_n300"
56,85664.1211580553,"Successful completion",0.00321328453678852,0.999672570731862,0.999060205551024,3.44504853268118,0.0147081174740775,0.103504436150561,4.00901862353953e-05,0.00213466144380956,2.49657482499327,"seed123_n300"
57,59910.7357278184,"Successful completion",0.00034559712579179,0.999483663343576,0.937116496765124,3.61226565324206,0.188070855446856,0.0123715713820701,2.91897300641611e-05,0.00233114182264106,2.49476515347006,"seed123_n300"
58,62399.4456756424,"Successful completion",0.000539685904914794,0.153509449755598,0.824476835934524,3.1007316747138,0.0609658926128556,0.0432925465250491,3.31898624593028e-05,0.00225811937648082,2.49769995968763,"seed123_n300"
59,97757.9178118284,"Successful completion",0.00378278233647116,0.996974760261949,0.363767711835066,0.938555095687922,0.00618134152927681,0.195672228340985,4.20123664839113e-05,0.0021118531549798,2.49727950458529,"seed123_n300"
60,69835.8007048877,"Successful completion",7.64348259065188e-05,0.651543846806821,0.844138255900574,3.22586932728017,0.969497878507285,0.0129288600682175,2.6973256376689e-05,0.00237773661094066,2.4734732830737,"seed123_n300"
61,83696.9721818702,"Successful completion",0.00251730264891003,0.995913038785986,0.688162398142019,2.70018538361792,0.0178779515332706,0.104413159850013,3.85453497311429e-05,0.00217608173345697,2.49580185492757,"seed123_n300"
62,67574.5165469964,"Successful completion",0.000129757570252449,0.950376459350391,0.896996990873675,3.42735446021109,0.605430954972675,0.0120396485884886,2.71783207907879e-05,0.00238325109394416,2.48369450450779,"seed123_n300"
