"Repeat","Value","Convergence","pE","alpha","k","a","omega","p","eta","mu","R0"
90,55954.08025054,"Successful completion",0.000571870307848469,0.999999571104016,0.566256057729707,1.69897751659326,0.0743773464248029,0.0175196960679226,3.18654078660169e-05,0.00228148991352251,2.49706809600639
91,211382.330300442,"Successful completion",0.000116588123666855,0.8692670596498,0.312841153119522,0.975347183933969,0.76529009290891,0.197609398994541,2.69362565219596e-05,0.00238354249310698,2.16542182284185
92,90511.441473614,"Successful completion",0.00199939850635214,0.566173781901019,0.99950475439582,3.09125933079692,0.0086045785527674,0.190936021218082,4.00510311269424e-05,0.00214491097201901,2.49661814042025
93,90048.3670364962,"Successful completion",0.00223562052218333,0.931882703396774,0.711251563336149,2.23393891849845,0.00592647238359729,0.189033623970895,4.10508933303174e-05,0.00211714909280807,2.49749979178653
94,63179.9381129535,"Successful completion",0.000319859124427825,0.286994680185197,0.445317343562638,1.02506343468905,0.0350109220290751,0.027443403892222,3.61620627009455e-05,0.00218429153788506,2.49843491856781
95,90019.2782890657,"Successful completion",0.00285495625153648,0.923771156369601,0.512852697357544,1.25924832097897,0.00598456877672113,0.119441490090882,4.19912515199555e-05,0.00210983317196977,2.49840643322085
96,190274.182356893,"Successful completion",0.00951180175607457,0.798882749113234,0.414806127051921,0.198637522508266,0.00391292941969346,0.17110563956936,4.61934964633709e-05,0.00208635496520094,2.49853570822009
97,76341.1516358599,"Successful completion",0.000631381111881474,0.198621005842877,0.961485482356765,2.86000095421307,0.0870370206449936,0.0650925510578676,3.02436302985564e-05,0.00233781453077307,2.49296734086535
98,76618.6177416594,"Successful completion",8.59629397082208e-05,0.997205021540659,0.430785903256442,0.907491357712039,0.746888441553087,0.0124075046882821,2.69052863114148e-05,0.00238544477597709,2.47915569429017
99,63055.8364380569,"Successful completion",0.000615580018173915,0.526123279388745,0.612118521403107,1.80668367575435,0.0903770895579107,0.0377039701465745,3.10617006058395e-05,0.00229998945194391,2.4931002526995
100,53590.4233188476,"Successful completion",0.000541976652166052,0.963992320031129,0.786814250312576,2.57532288930747,0.0729134552291584,0.0193727425893164,3.20900275705664e-05,0.00227701961884186,2.496834989874
101,99016.2707773901,"Successful completion",0.000607818581454472,0.551351895346023,0.400771401057952,0.962497472744724,0.00400903431874462,0.0999754175707042,4.15392497234681e-05,0.00210331356960136,2.4991797251274
102,61750.7523124978,"Successful completion",0.000122289855582107,0.991902630786192,0.984354604457234,3.06480188763091,0.405472056904313,0.0125202215684079,2.7571263173281e-05,0.00237350945261987,2.48858801068775
103,62296.8887614034,"Successful completion",0.000921596813048607,0.703024417023941,0.929763556064975,3.02442877965225,0.0282285313916344,0.0344089064852441,3.69100334685177e-05,0.00217503170435395,2.49791712286515
104,90081.9808307281,"Successful completion",0.00237875803354614,0.879914799892057,0.366460415053164,0.550855589232315,0.00676688688014333,0.181928638036742,4.08372806189669e-05,0.0021269254987021,2.49727204920329
105,54046.5340650801,"Successful completion",0.000128639567949988,0.424474751167704,0.995058120276146,3.14252484148448,0.10841544357046,0.0161234758444686,3.06010317664343e-05,0.00230457568022997,2.49665944307614
106,90027.7417408145,"Successful completion",0.00142419928785083,0.255609780129629,0.997018336563449,3.10018114647701,0.00695552491855734,0.196928598286293,4.06280705771152e-05,0.00213000476744645,2.49791532608852
